ID,名称,所属线路,开放状态
1001,莘庄,1,正常开放
1002,外环路,1,正常开放
1003,莲花路,1,正常开放
1004,锦江乐园,1,正常开放
1005,上海南站,1,正常开放
1006,漕宝路,1,正常开放
1007,上海体育馆,1,正常开放
1008,徐家汇,1,正常开放
1009,衡山路,1,正常开放
1010,常熟路,1,正常开放
1011,陕西南路,1,正常开放
1012,一大会址·黄陂南路,1,正常开放
1013,人民广场,1,正常开放
1014,新闸路,1,正常开放
1015,汉中路,1,正常开放
1016,上海火车站,1,正常开放
1017,中山北路,1,正常开放
1018,延长路,1,正常开放
1019,上海马戏城,1,正常开放
1020,汶水路,1,正常开放
1021,彭浦新村,1,正常开放
1022,共康路,1,正常开放
1023,通河新村,1,正常开放
1024,呼兰路,1,正常开放
1025,共富新村,1,正常开放
1026,宝安公路,1,正常开放
1027,友谊西路,1,正常开放
1028,富锦路?,1,正常开放
1029,蟠祥路·国家会计学院,2,正常开放
1030,国家会展中心,2,正常开放
1031,虹桥火车站,2,正常开放
1032,虹桥2号航站楼,2,正常开放
1033,淞虹路,2,正常开放
1034,北新泾,2,正常开放
1035,威宁路,2,正常开放
1036,娄山关路,2,正常开放
1037,中山公园,2,正常开放
1038,江苏路,2,正常开放
1039,静安寺,2,正常开放
1040,南京西路,2,正常开放
1041,人民广场,2,正常开放
1042,南京东路,2,正常开放
1043,陆家嘴,2,正常开放
1044,浦东南路,2,正常开放
1045,世纪大道,2,正常开放
1046,上海科技馆,2,正常开放
1047,世纪公园,2,正常开放
1048,龙阳路,2,正常开放
1049,张江高科,2,正常开放
1050,金科路,2,正常开放
1051,广兰路,2,正常开放
1052,唐镇,2,正常开放
1053,创新中路,2,正常开放
1054,华夏东路,2,正常开放
1055,川沙,2,正常开放
1056,凌空路,2,正常开放
1057,远东大道,2,正常开放
1058,海天三路,2,正常开放
1059,浦东1号2号航站楼,2,正常开放
1060,上海南站,3,正常开放
1061,石龙路,3,正常开放
1062,龙漕路,3,正常开放
1063,漕溪路,3,正常开放
1064,宜山路,3,正常开放
1065,虹桥路,3,正常开放
1066,延安西路,3,正常开放
1067,中山公园,3,正常开放
1068,金沙江路,3,正常开放
1069,曹杨路,3,正常开放
1070,镇坪路,3,正常开放
1071,中潭路,3,正常开放
1072,上海火车站,3,正常开放
1073,宝山路,3,正常开放
1074,东宝兴路,3,正常开放
1075,虹口足球场,3,正常开放
1076,赤峰路,3,正常开放
1077,大柏树,3,正常开放
1078,江湾镇,3,正常开放
1079,殷高西路,3,正常开放
1080,长江南路,3,正常开放
1081,淞发路,3,正常开放
1082,张华浜,3,正常开放
1083,淞滨路,3,正常开放
1084,水产路,3,正常开放
1085,宝杨路,3,正常开放
1086,友谊路,3,正常开放
1087,铁力路,3,正常开放
1088,江杨北路,3,正常开放
1089,宜山路,4,正常开放
1090,上海体育馆,4,正常开放
1091,上海体育场,4,正常开放
1092,东安路,4,正常开放
1093,大木桥路,4,正常开放
1094,鲁班路,4,正常开放
1095,西藏南路,4,正常开放
1096,南浦大桥,4,正常开放
1097,塘桥,4,正常开放
1098,蓝村路,4,正常开放
1099,浦电路,4,正常开放
1100,世纪大道,4,正常开放
1101,浦东大道,4,正常开放
